N,regen,protocol,memory,seed,U_total,cooperation,gini,stability_var,collapsed,t_collapse,U_per_agent
5,8,mediator,M0,0,240,0.4666666666666667,0.25,0.0,0,-1,"[30, 90, 30, 60, 30]"
5,8,mediator,M0,1,240,0.4666666666666667,0.25,0.0,0,-1,"[30, 30, 60, 90, 30]"
5,8,mediator,M0,2,240,0.4666666666666667,0.25,0.0,0,-1,"[30, 30, 30, 60, 90]"
5,8,mediator,M0,3,240,0.4666666666666667,0.25,0.0,0,-1,"[90, 30, 60, 30, 30]"
5,8,mediator,M0,4,240,0.4666666666666667,0.25,0.0,0,-1,"[30, 30, 30, 90, 60]"
5,8,mediator,M1,0,240,0.4666666666666667,0.25,0.0,0,-1,"[30, 90, 30, 60, 30]"
5,8,mediator,M1,1,240,0.4666666666666667,0.25,0.0,0,-1,"[30, 30, 60, 90, 30]"
5,8,mediator,M1,2,240,0.4666666666666667,0.25,0.0,0,-1,"[30, 30, 30, 60, 90]"
5,8,mediator,M1,3,240,0.4666666666666667,0.25,0.0,0,-1,"[90, 30, 60, 30, 30]"
5,8,mediator,M1,4,240,0.4666666666666667,0.25,0.0,0,-1,"[30, 30, 30, 90, 60]"
5,5,no_chat,M0,0,162,0.64,0.3555555555555556,0.24533333333333332,0,-1,"[18, 18, 90, 18, 18]"
5,5,no_chat,M0,1,162,0.64,0.3555555555555556,0.24533333333333332,0,-1,"[90, 18, 18, 18, 18]"
5,5,no_chat,M0,2,162,0.64,0.3555555555555556,0.24533333333333332,0,-1,"[18, 18, 18, 90, 18]"
5,5,no_chat,M0,3,162,0.64,0.3555555555555556,0.24533333333333332,0,-1,"[18, 90, 18, 18, 18]"
5,5,no_chat,M0,4,162,0.64,0.3555555555555556,0.24533333333333332,0,-1,"[18, 90, 18, 18, 18]"
5,5,no_chat,M1,0,162,0.64,0.3555555555555556,0.24533333333333332,0,-1,"[18, 18, 90, 18, 18]"
5,5,no_chat,M1,1,162,0.64,0.3555555555555556,0.24533333333333332,0,-1,"[90, 18, 18, 18, 18]"
5,5,no_chat,M1,2,162,0.64,0.3555555555555556,0.24533333333333332,0,-1,"[18, 18, 18, 90, 18]"
5,5,no_chat,M1,3,162,0.64,0.3555555555555556,0.24533333333333332,0,-1,"[18, 90, 18, 18, 18]"
5,5,no_chat,M1,4,162,0.64,0.3555555555555556,0.24533333333333332,0,-1,"[18, 90, 18, 18, 18]"
5,5,roundtable,M0,0,60,0.5555555555555556,0.28,0.08888888888888888,1,8,"[9, 9, 27, 9, 6]"
5,5,roundtable,M0,1,60,0.5555555555555556,0.28,0.08888888888888888,1,8,"[27, 9, 9, 9, 6]"
5,5,roundtable,M0,2,60,0.5555555555555556,0.28,0.08888888888888888,1,8,"[6, 9, 9, 27, 9]"
5,5,roundtable,M0,3,60,0.5555555555555556,0.28,0.08888888888888888,1,8,"[9, 27, 9, 6, 9]"
5,5,roundtable,M0,4,60,0.5555555555555556,0.28,0.08888888888888888,1,8,"[9, 27, 6, 9, 9]"
5,5,roundtable,M1,0,60,0.5555555555555556,0.28,0.08888888888888888,1,8,"[9, 9, 27, 9, 6]"
5,5,roundtable,M1,1,60,0.5555555555555556,0.28,0.08888888888888888,1,8,"[27, 9, 9, 9, 6]"
5,5,roundtable,M1,2,60,0.5555555555555556,0.28,0.08888888888888888,1,8,"[6, 9, 9, 27, 9]"
5,5,roundtable,M1,3,60,0.5555555555555556,0.28,0.08888888888888888,1,8,"[9, 27, 9, 6, 9]"
5,5,roundtable,M1,4,60,0.5555555555555556,0.28,0.08888888888888888,1,8,"[9, 27, 6, 9, 9]"
5,5,mediator,M0,0,60,0.5555555555555556,0.28,0.08888888888888888,1,8,"[9, 9, 27, 9, 6]"
5,5,mediator,M0,1,60,0.5555555555555556,0.28,0.08888888888888888,1,8,"[27, 9, 9, 9, 6]"
5,5,mediator,M0,2,60,0.5555555555555556,0.28,0.08888888888888888,1,8,"[6, 9, 9, 27, 9]"
5,5,mediator,M0,3,60,0.5555555555555556,0.28,0.08888888888888888,1,8,"[9, 27, 9, 6, 9]"
5,5,mediator,M0,4,60,0.5555555555555556,0.28,0.08888888888888888,1,8,"[9, 27, 6, 9, 9]"
5,5,mediator,M1,0,60,0.5555555555555556,0.28,0.08888888888888888,1,8,"[9, 9, 27, 9, 6]"
5,5,mediator,M1,1,60,0.5555555555555556,0.28,0.08888888888888888,1,8,"[27, 9, 9, 9, 6]"
5,5,mediator,M1,2,60,0.5555555555555556,0.28,0.08888888888888888,1,8,"[6, 9, 9, 27, 9]"
5,5,mediator,M1,3,60,0.5555555555555556,0.28,0.08888888888888888,1,8,"[9, 27, 9, 6, 9]"
5,5,mediator,M1,4,60,0.5555555555555556,0.28,0.08888888888888888,1,8,"[9, 27, 6, 9, 9]"
5,3,no_chat,M0,0,102,0.7733333333333333,0.6823529411764706,0.12533333333333335,0,-1,"[3, 3, 3, 3, 90]"
5,3,no_chat,M0,1,102,0.7733333333333333,0.6823529411764706,0.12533333333333335,0,-1,"[3, 3, 90, 3, 3]"
5,3,no_chat,M0,2,102,0.7733333333333333,0.6823529411764706,0.12533333333333335,0,-1,"[3, 3, 3, 3, 90]"
5,3,no_chat,M0,3,102,0.7733333333333333,0.6823529411764706,0.12533333333333335,0,-1,"[3, 3, 3, 3, 90]"
5,3,no_chat,M0,4,102,0.7733333333333333,0.6823529411764706,0.12533333333333335,0,-1,"[3, 3, 3, 90, 3]"
5,3,no_chat,M1,0,102,0.7733333333333333,0.6823529411764706,0.12533333333333335,0,-1,"[3, 3, 3, 3, 90]"
5,3,no_chat,M1,1,102,0.7733333333333333,0.6823529411764706,0.12533333333333335,0,-1,"[3, 3, 90, 3, 3]"
5,3,no_chat,M1,2,102,0.7733333333333333,0.6823529411764706,0.12533333333333335,0,-1,"[3, 3, 3, 3, 90]"
5,3,no_chat,M1,3,102,0.7733333333333333,0.6823529411764706,0.12533333333333335,0,-1,"[3, 3, 3, 3, 90]"
5,3,no_chat,M1,4,102,0.7733333333333333,0.6823529411764706,0.12533333333333335,0,-1,"[3, 3, 3, 90, 3]"
5,3,roundtable,M0,0,34,0.5466666666666666,0.2588235294117647,0.11200000000000002,1,4,"[4, 5, 5, 5, 15]"
5,3,roundtable,M0,1,34,0.5466666666666666,0.2588235294117647,0.11200000000000002,1,4,"[5, 5, 15, 5, 4]"
5,3,roundtable,M0,2,34,0.5466666666666666,0.2588235294117647,0.11200000000000002,1,4,"[5, 5, 5, 4, 15]"
5,3,roundtable,M0,3,34,0.5466666666666666,0.2588235294117647,0.11200000000000002,1,4,"[5, 5, 4, 5, 15]"
5,3,roundtable,M0,4,34,0.5466666666666666,0.2588235294117647,0.11200000000000002,1,4,"[5, 5, 5, 15, 4]"
5,3,roundtable,M1,0,34,0.5466666666666666,0.2588235294117647,0.11200000000000002,1,4,"[4, 5, 5, 5, 15]"
5,3,roundtable,M1,1,34,0.5466666666666666,0.2588235294117647,0.11200000000000002,1,4,"[5, 5, 15, 5, 4]"
5,3,roundtable,M1,2,34,0.5466666666666666,0.2588235294117647,0.11200000000000002,1,4,"[5, 5, 5, 4, 15]"
5,3,roundtable,M1,3,34,0.5466666666666666,0.2588235294117647,0.11200000000000002,1,4,"[5, 5, 4, 5, 15]"
5,3,roundtable,M1,4,34,0.5466666666666666,0.2588235294117647,0.11200000000000002,1,4,"[5, 5, 5, 15, 4]"
5,3,mediator,M0,0,34,0.5466666666666666,0.2588235294117647,0.11200000000000002,1,4,"[4, 5, 5, 5, 15]"
5,3,mediator,M0,1,34,0.5466666666666666,0.2588235294117647,0.11200000000000002,1,4,"[5, 5, 15, 5, 4]"
5,3,mediator,M0,2,34,0.5466666666666666,0.2588235294117647,0.11200000000000002,1,4,"[5, 5, 5, 4, 15]"
5,3,mediator,M0,3,34,0.5466666666666666,0.2588235294117647,0.11200000000000002,1,4,"[5, 5, 4, 5, 15]"
5,3,mediator,M0,4,34,0.5466666666666666,0.2588235294117647,0.11200000000000002,1,4,"[5, 5, 5, 15, 4]"
5,3,mediator,M1,0,34,0.5466666666666666,0.2588235294117647,0.11200000000000002,1,4,"[4, 5, 5, 5, 15]"
5,3,mediator,M1,1,34,0.5466666666666666,0.2588235294117647,0.11200000000000002,1,4,"[5, 5, 15, 5, 4]"
5,3,mediator,M1,2,34,0.5466666666666666,0.2588235294117647,0.11200000000000002,1,4,"[5, 5, 5, 4, 15]"
5,3,mediator,M1,3,34,0.5466666666666666,0.2588235294117647,0.11200000000000002,1,4,"[5, 5, 4, 5, 15]"
5,3,mediator,M1,4,34,0.5466666666666666,0.2588235294117647,0.11200000000000002,1,4,"[5, 5, 5, 15, 4]"
7,8,no_chat,M0,0,245,0.6111111111111112,0.44897959183673475,0.1753968253968254,0,-1,"[13, 13, 13, 13, 13, 90, 90]"
7,8,no_chat,M0,1,245,0.6111111111111112,0.44897959183673475,0.1753968253968254,0,-1,"[13, 90, 13, 13, 13, 90, 13]"
7,8,no_chat,M0,2,245,0.6111111111111112,0.44897959183673475,0.1753968253968254,0,-1,"[13, 13, 13, 13, 13, 90, 90]"
7,8,no_chat,M0,3,245,0.6111111111111112,0.44897959183673475,0.1753968253968254,0,-1,"[13, 13, 13, 90, 13, 90, 13]"
7,8,no_chat,M0,4,245,0.6111111111111112,0.44897959183673475,0.1753968253968254,0,-1,"[13, 90, 13, 13, 13, 90, 13]"
7,8,no_chat,M1,0,245,0.6111111111111112,0.44897959183673475,0.1753968253968254,0,-1,"[13, 13, 13, 13, 13, 90, 90]"
7,8,no_chat,M1,1,245,0.6111111111111112,0.44897959183673475,0.1753968253968254,0,-1,"[13, 90, 13, 13, 13, 90, 13]"
7,8,no_chat,M1,2,245,0.6111111111111112,0.44897959183673475,0.1753968253968254,0,-1,"[13, 13, 13, 13, 13, 90, 90]"
